20.9574 	EXP 	window1: blendMode = 'avg'
20.9732 	EXP 	window1: blendMode = 'avg'
20.9901 	DATA 	Keypress: left
20.9915 	EXP 	New trial (rep=0, index=2): {'color': u'blue', 'word': u'red'}
21.0213 	EXP 	text: autoDraw = False
21.0213 	EXP 	text: color = u'blue (named)'
21.0213 	EXP 	text: text = u'red'
21.5070 	EXP 	window1: blendMode = 'avg'
21.5212 	EXP 	text: autoDraw = True
21.5230 	EXP 	window1: blendMode = 'avg'
21.5395 	EXP 	window1: blendMode = 'avg'
21.5886 	EXP 	window1: blendMode = 'avg'
21.6057 	EXP 	window1: blendMode = 'avg'
21.6227 	EXP 	window1: blendMode = 'avg'
21.6393 	EXP 	window1: blendMode = 'avg'
21.6560 	EXP 	window1: blendMode = 'avg'
21.6727 	EXP 	window1: blendMode = 'avg'
21.6894 	EXP 	window1: blendMode = 'avg'
21.7064 	EXP 	window1: blendMode = 'avg'
21.7226 	EXP 	window1: blendMode = 'avg'
21.7392 	EXP 	window1: blendMode = 'avg'
21.7560 	EXP 	window1: blendMode = 'avg'
21.7727 	EXP 	window1: blendMode = 'avg'
21.7893 	EXP 	window1: blendMode = 'avg'
21.8060 	EXP 	window1: blendMode = 'avg'
21.8231 	EXP 	window1: blendMode = 'avg'
21.8393 	EXP 	window1: blendMode = 'avg'
21.8562 	EXP 	window1: blendMode = 'avg'
21.8728 	EXP 	window1: blendMode = 'avg'
21.8894 	EXP 	window1: blendMode = 'avg'
21.9063 	EXP 	window1: blendMode = 'avg'
21.9226 	EXP 	window1: blendMode = 'avg'
21.9397 	EXP 	window1: blendMode = 'avg'
21.9562 	EXP 	window1: blendMode = 'avg'
21.9726 	EXP 	window1: blendMode = 'avg'
21.9894 	EXP 	window1: blendMode = 'avg'
22.0061 	EXP 	window1: blendMode = 'avg'
22.0226 	EXP 	window1: blendMode = 'avg'
22.0394 	EXP 	window1: blendMode = 'avg'
22.0559 	EXP 	window1: blendMode = 'avg'
22.0729 	EXP 	window1: blendMode = 'avg'
22.0893 	EXP 	window1: blendMode = 'avg'
22.1061 	EXP 	window1: blendMode = 'avg'
22.1230 	DATA 	Keypress: left
22.1244 	EXP 	New trial (rep=0, index=3): {'color': u'blue', 'word': u'red'}
22.1378 	EXP 	text: autoDraw = False
22.1378 	EXP 	text: color = u'blue (named)'
22.1378 	EXP 	text: text = u'red'
22.6397 	EXP 	window1: blendMode = 'avg'
22.6546 	EXP 	text: autoDraw = True
22.6561 	EXP 	window1: blendMode = 'avg'
22.6728 	EXP 	window1: blendMode = 'avg'
22.6893 	EXP 	window1: blendMode = 'avg'
22.7060 	EXP 	window1: blendMode = 'avg'
22.7230 	EXP 	window1: blendMode = 'avg'
22.7400 	EXP 	window1: blendMode = 'avg'
22.7560 	EXP 	window1: blendMode = 'avg'
22.7727 	EXP 	window1: blendMode = 'avg'
22.7894 	EXP 	window1: blendMode = 'avg'
22.8060 	EXP 	window1: blendMode = 'avg'
22.8227 	EXP 	window1: blendMode = 'avg'
22.8394 	EXP 	window1: blendMode = 'avg'
22.8560 	EXP 	window1: blendMode = 'avg'
22.8732 	EXP 	window1: blendMode = 'avg'
22.8894 	EXP 	window1: blendMode = 'avg'
22.9060 	EXP 	window1: blendMode = 'avg'
22.9227 	EXP 	window1: blendMode = 'avg'
22.9393 	EXP 	window1: blendMode = 'avg'
22.9563 	EXP 	window1: blendMode = 'avg'
22.9729 	EXP 	window1: blendMode = 'avg'
22.9894 	EXP 	window1: blendMode = 'avg'
23.0062 	EXP 	window1: blendMode = 'avg'
23.0227 	EXP 	window1: blendMode = 'avg'
23.0394 	EXP 	window1: blendMode = 'avg'
23.0560 	EXP 	window1: blendMode = 'avg'
23.0727 	EXP 	window1: blendMode = 'avg'
23.0894 	EXP 	window1: blendMode = 'avg'
23.1060 	EXP 	window1: blendMode = 'avg'
23.1230 	EXP 	window1: blendMode = 'avg'
23.1394 	EXP 	window1: blendMode = 'avg'
23.1560 	EXP 	window1: blendMode = 'avg'
23.1729 	EXP 	window1: blendMode = 'avg'
23.1892 	EXP 	window1: blendMode = 'avg'
23.2060 	EXP 	window1: blendMode = 'avg'
23.2228 	EXP 	window1: blendMode = 'avg'
23.2395 	EXP 	window1: blendMode = 'avg'
23.2560 	EXP 	window1: blendMode = 'avg'
23.2727 	EXP 	window1: blendMode = 'avg'
23.2897 	EXP 	window1: blendMode = 'avg'
23.3061 	EXP 	window1: blendMode = 'avg'
23.3227 	EXP 	window1: blendMode = 'avg'
23.3396 	EXP 	window1: blendMode = 'avg'
23.3562 	EXP 	window1: blendMode = 'avg'
23.3727 	EXP 	window1: blendMode = 'avg'
23.3894 	EXP 	window1: blendMode = 'avg'
