19.4632 	EXP 	window1: blendMode = 'avg'
19.4802 	EXP 	window1: blendMode = 'avg'
19.4965 	EXP 	window1: blendMode = 'avg'
19.5137 	EXP 	window1: blendMode = 'avg'
19.5299 	EXP 	window1: blendMode = 'avg'
19.5469 	EXP 	window1: blendMode = 'avg'
19.5633 	EXP 	window1: blendMode = 'avg'
19.5801 	EXP 	window1: blendMode = 'avg'
19.5967 	EXP 	window1: blendMode = 'avg'
19.6134 	EXP 	window1: blendMode = 'avg'
19.6300 	EXP 	window1: blendMode = 'avg'
19.6470 	EXP 	window1: blendMode = 'avg'
19.6634 	EXP 	window1: blendMode = 'avg'
19.6801 	EXP 	window1: blendMode = 'avg'
19.6964 	EXP 	window1: blendMode = 'avg'
19.7136 	EXP 	window1: blendMode = 'avg'
19.7299 	EXP 	window1: blendMode = 'avg'
19.7470 	EXP 	window1: blendMode = 'avg'
19.7633 	EXP 	window1: blendMode = 'avg'
19.7800 	EXP 	window1: blendMode = 'avg'
19.7966 	EXP 	window1: blendMode = 'avg'
19.8136 	EXP 	window1: blendMode = 'avg'
19.8300 	EXP 	window1: blendMode = 'avg'
19.8467 	EXP 	window1: blendMode = 'avg'
19.8632 	EXP 	window1: blendMode = 'avg'
19.8802 	EXP 	window1: blendMode = 'avg'
19.8968 	EXP 	window1: blendMode = 'avg'
19.9134 	EXP 	window1: blendMode = 'avg'
19.9300 	EXP 	window1: blendMode = 'avg'
19.9467 	EXP 	window1: blendMode = 'avg'
19.9633 	EXP 	window1: blendMode = 'avg'
19.9802 	EXP 	window1: blendMode = 'avg'
19.9965 	EXP 	window1: blendMode = 'avg'
20.0136 	EXP 	window1: blendMode = 'avg'
20.0300 	EXP 	window1: blendMode = 'avg'
20.0468 	EXP 	window1: blendMode = 'avg'
20.0636 	EXP 	window1: blendMode = 'avg'
20.0802 	EXP 	window1: blendMode = 'avg'
20.0966 	EXP 	window1: blendMode = 'avg'
20.1136 	EXP 	window1: blendMode = 'avg'
20.1301 	EXP 	window1: blendMode = 'avg'
20.1468 	EXP 	window1: blendMode = 'avg'
20.1633 	EXP 	window1: blendMode = 'avg'
