11.9303 	EXP 	window1: blendMode = 'avg'
11.9459 	EXP 	window1: blendMode = 'avg'
11.9625 	EXP 	window1: blendMode = 'avg'
11.9798 	EXP 	window1: blendMode = 'avg'
11.9969 	EXP 	window1: blendMode = 'avg'
12.0127 	EXP 	window1: blendMode = 'avg'
12.0293 	EXP 	window1: blendMode = 'avg'
12.0459 	EXP 	window1: blendMode = 'avg'
12.0626 	EXP 	window1: blendMode = 'avg'
12.0800 	DATA 	Keypress: left
12.0814 	EXP 	New trial (rep=0, index=4): {'color': u'blue', 'word': u'green '}
12.1104 	EXP 	text: autoDraw = False
12.1104 	EXP 	text: color = u'blue (named)'
12.1104 	EXP 	text: text = u'green '
12.5982 	EXP 	window1: blendMode = 'avg'
12.6110 	EXP 	text: autoDraw = True
12.6121 	EXP 	window1: blendMode = 'avg'
12.6292 	EXP 	window1: blendMode = 'avg'
12.6457 	EXP 	window1: blendMode = 'avg'
12.6628 	EXP 	window1: blendMode = 'avg'
12.6804 	EXP 	window1: blendMode = 'avg'
12.7135 	EXP 	window1: blendMode = 'avg'
12.7297 	EXP 	window1: blendMode = 'avg'
12.7473 	EXP 	window1: blendMode = 'avg'
12.7626 	EXP 	window1: blendMode = 'avg'
12.7794 	EXP 	window1: blendMode = 'avg'
12.7958 	EXP 	window1: blendMode = 'avg'
12.8126 	EXP 	window1: blendMode = 'avg'
12.8304 	EXP 	window1: blendMode = 'avg'
12.8460 	EXP 	window1: blendMode = 'avg'
12.8633 	EXP 	window1: blendMode = 'avg'
12.8796 	EXP 	window1: blendMode = 'avg'
12.8967 	EXP 	window1: blendMode = 'avg'
12.9132 	DATA 	Keypress: left
12.9146 	EXP 	New trial (rep=0, index=5): {'color': u'green', 'word': u'green'}
12.9438 	EXP 	text: autoDraw = False
12.9438 	EXP 	text: color = u'green (named)'
12.9438 	EXP 	text: text = u'green'
13.4309 	EXP 	window1: blendMode = 'avg'
13.4452 	EXP 	text: autoDraw = True
13.4465 	EXP 	window1: blendMode = 'avg'
13.4628 	EXP 	window1: blendMode = 'avg'
13.4793 	EXP 	window1: blendMode = 'avg'
13.4970 	EXP 	window1: blendMode = 'avg'
13.5127 	EXP 	window1: blendMode = 'avg'
13.5299 	EXP 	window1: blendMode = 'avg'
13.5460 	EXP 	window1: blendMode = 'avg'
13.5627 	EXP 	window1: blendMode = 'avg'
13.5797 	EXP 	window1: blendMode = 'avg'
13.5960 	EXP 	window1: blendMode = 'avg'
13.6126 	EXP 	window1: blendMode = 'avg'
13.6295 	EXP 	window1: blendMode = 'avg'
13.6473 	EXP 	window1: blendMode = 'avg'
13.6625 	EXP 	window1: blendMode = 'avg'
13.6966 	EXP 	window1: blendMode = 'avg'
13.7301 	EXP 	window1: blendMode = 'avg'
13.7476 	EXP 	window1: blendMode = 'avg'
13.7645 	DATA 	Keypress: left
13.7659 	EXP 	New trial (rep=0, index=6): {'color': u'red', 'word': u'red'}
13.7940 	EXP 	text: autoDraw = False
13.7940 	EXP 	text: color = u'red (named)'
13.7940 	EXP 	text: text = u'red'
14.2810 	EXP 	window1: blendMode = 'avg'
14.2952 	EXP 	text: autoDraw = True
14.2967 	EXP 	window1: blendMode = 'avg'
14.3123 	EXP 	window1: blendMode = 'avg'
14.3299 	EXP 	window1: blendMode = 'avg'
14.3467 	EXP 	window1: blendMode = 'avg'
14.3635 	EXP 	window1: blendMode = 'avg'
14.3794 	EXP 	window1: blendMode = 'avg'
14.3970 	EXP 	window1: blendMode = 'avg'
14.4130 	EXP 	window1: blendMode = 'avg'
14.4301 	EXP 	window1: blendMode = 'avg'
14.4468 	EXP 	window1: blendMode = 'avg'
14.4640 	EXP 	window1: blendMode = 'avg'
14.4813 	EXP 	window1: blendMode = 'avg'
14.4964 	EXP 	window1: blendMode = 'avg'
14.5131 	EXP 	window1: blendMode = 'avg'
14.5291 	DATA 	Keypress: left
14.5301 	EXP 	New trial (rep=0, index=7): {'color': u'red', 'word': u'blue'}
14.5454 	EXP 	text: autoDraw = False
14.5454 	EXP 	text: color = u'red (named)'
14.5454 	EXP 	text: text = u'blue'
15.0472 	EXP 	window1: blendMode = 'avg'
15.0613 	EXP 	text: autoDraw = True
15.0630 	EXP 	window1: blendMode = 'avg'
15.0794 	EXP 	window1: blendMode = 'avg'
15.0961 	EXP 	window1: blendMode = 'avg'
15.1130 	EXP 	window1: blendMode = 'avg'
15.1295 	EXP 	window1: blendMode = 'avg'
15.1461 	EXP 	window1: blendMode = 'avg'
15.1628 	EXP 	window1: blendMode = 'avg'
15.1798 	EXP 	window1: blendMode = 'avg'
15.1964 	EXP 	window1: blendMode = 'avg'
15.2131 	EXP 	window1: blendMode = 'avg'
15.2305 	EXP 	window1: blendMode = 'avg'
15.2460 	EXP 	window1: blendMode = 'avg'
15.2629 	EXP 	window1: blendMode = 'avg'
